bodyId,type,instance
284978,BM_InOm,BM_InOm_R
285013,BM_InOm,BM_InOm_L
285042,BM_InOm,BM_InOm_L
285158,AN05B049_a,AN05B049_a_L
285376,BM_InOm,BM_InOm_L
285841,BM_InOm,BM_InOm_R
286544,BM_InOm,BM_InOm_L
287167,JO-FV,JO-FV_L
288123,BM_InOm,BM_InOm_L
289180,BM_InOm,BM_InOm_R
289340,BM_InOm,BM_InOm_L
290332,BM,BM_L
290991,BM_InOm,BM_InOm_L
291144,BM_InOm,BM_InOm_R
291345,,
291562,BM_InOm,BM_InOm_R
292241,BM_InOm,BM_InOm_R
293507,BM_InOm,BM_InOm_L
293891,BM_MaPa,BM_MaPa_L
295346,BM_InOm,BM_InOm_L
295892,BM_InOm,BM_InOm_R
297045,BM_InOm,BM_InOm_L
297206,BM_InOm,BM_InOm_L
297936,BM_InOm,BM_InOm_L
298220,BM_InOm,BM_InOm_L
300061,BM_InOm,BM_InOm_R
301023,BM_InOm,BM_InOm_R
301457,BM_InOm,BM_InOm_L
302324,BM_InOm,BM_InOm_L
302730,BM_Vib,BM_Vib_R
302835,BM_InOm,BM_InOm_R
303057,JO-FV,JO-FV_R
303718,BM_InOm,BM_InOm_R
304167,JO-FV,JO-FV_R
304209,BM_InOm,BM_InOm_R
304399,BM_InOm,BM_InOm_R
304920,BM_InOm,BM_InOm_L
305247,BM_InOm,BM_InOm_R
305417,BM,BM_R
306404,AN12B060,AN12B060_R
306607,JO-FV,JO-FV_R
306761,BM_InOm,BM_InOm_R
306786,BM_InOm,BM_InOm_R
307879,BM_InOm,BM_InOm_L
308970,JO-FV,JO-FV_L
308997,BM_InOm,BM_InOm_R
311901,BM_InOm,BM_InOm_L
312163,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
312492,BM_InOm,BM_InOm_L
312644,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
313734,BM_InOm,BM_InOm_L
313934,BM_InOm,BM_InOm_L
316058,BM_InOm,BM_InOm_L
317373,BM_InOm,BM_InOm_L
317536,BM_InOm,BM_InOm_R
319505,BM_InOm,BM_InOm_L
320555,BM_InOm,BM_InOm_L
320580,BM_InOm,BM_InOm_L
321015,AN05B053,AN05B053_R
322206,BM_InOm,BM_InOm_R
324453,JO-FV,JO-FV_L
324531,BM_InOm,BM_InOm_L
325112,,
325391,BM_InOm,BM_InOm_L
326200,BM_InOm,BM_InOm_R
326920,BM_InOm,BM_InOm_L
327169,,
328287,BM_InOm,BM_InOm_R
329588,,
330716,BM_InOm,BM_InOm_R
331154,BM_InOm,BM_InOm_L
334545,BM_InOm,BM_InOm_R
334819,BM,BM_R
335573,BM_InOm,BM_InOm_R
336713,BM_MaPa,BM_MaPa_L
337404,BM_InOm,BM_InOm_R
338000,BM_InOm,BM_InOm_L
339863,,
342366,BM_InOm,BM_InOm_L
342387,BM_InOm,BM_InOm_L
343346,JO-FV,JO-FV_L
343755,BM_InOm,BM_InOm_L
344177,BM_InOm,BM_InOm_L
344390,BM_InOm,BM_InOm_R
346129,BM_InOm,BM_InOm_R
346370,BM_InOm,BM_InOm_L
346744,BM_InOm,BM_InOm_R
347539,BM_InOm,BM_InOm_L
349529,BM_InOm,BM_InOm_R
349902,BM_InOm,BM_InOm_L
353032,,
354742,BM_InOm,BM_InOm_R
355731,BM_InOm,BM_InOm_L
356470,,
358475,BM_InOm,BM_InOm_R
359031,BM_InOm,BM_InOm_R
361313,BM_InOm,BM_InOm_L
361588,BM_InOm,BM_InOm_R
363186,BM_InOm,BM_InOm_R
363855,BM_InOm,BM_InOm_R
364355,BM_InOm,BM_InOm_R
365331,BM,BM_L
366437,BM_InOm,BM_InOm_R
367820,BM_InOm,BM_InOm_R
370737,BM_InOm,BM_InOm_R
374817,BM_InOm,BM_InOm_R
376328,BM_InOm,BM_InOm_R
377049,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
377359,BM_InOm,BM_InOm_L
377738,BM_InOm,BM_InOm_R
379434,BM_InOm,BM_InOm_L
383609,JO-FV,JO-FV_R
384438,BM_InOm,BM_InOm_L
384458,BM_InOm,BM_InOm_R
385675,BM_InOm,BM_InOm_R
386994,BM_InOm,BM_InOm_L
